Skills,Career,Entry_level_salary,Qualification_required
"Python, SQL",Data Scientist,700000,"B.Tech,Bsc,BCA"
"Java, Android",Mobile App Developer,500000,"B.Tech,Bsc,BCA"
"Communication, Leadership",Project Manager,600000,"B.Tech,Bsc,BCA"
"HTML, CSS, JavaScript",Frontend Developer,450000,"B.Tech,Bsc,BCA"
"C++, Algorithms",Software Engineer,500000,"B.Tech,Bsc,BCA"
"R, Statistics",Statistician,400000,"B.Tech,Bsc,BCA"
"Python, TensorFlow",Machine Learning Engineer,425000,"B.Tech,Bsc,BCA"
"Cybersecurity, Networking",Cybersecurity Analyst,450000,"B.Tech,Bsc,BCA"
"Linux, Shell Scripting",System Administrator,475000,"B.Tech,Bsc,BCA"
"Adobe Photoshop, Illustrator",Graphic Designer,500000,"B.Tech,Bsc,BCA"
"3D Modeling, CAD",CAD Designer,400000,"B.Tech,Bsc,BCA"
"Excel, Business Analysis",Business Analyst,425000,"B.Tech,Bsc,BCA"
"Python, Flask",Backend Developer,450000,"B.Tech,Bsc,BCA"
"Salesforce, CRM",CRM Specialist,475000,"B.Tech,Bsc,BCA"
"SEO, Google Analytics",Digital Marketer,500000,"B.Tech,Bsc,BCA"
"Python, Pandas, Numpy",Data Analyst,400000,"B.Tech,Bsc,BCA"
"MATLAB, Control Systems",Control Systems Engineer,425000,"B.Tech,Bsc,BCA"
"SAP, ERP Systems",SAP Consultant,450000,"B.Tech,Bsc,BCA"
"Python, Pytorch",AI Researcher,475000,"B.Tech,Bsc,BCA"
"AWS, Docker, Kubernetes",DevOps Engineer,500000,"B.Tech,Bsc,BCA"
"Financial Modeling, Excel",Financial Analyst,400000,"B.Tech,Bsc,BCA"
"English, Storytelling",Content Writer,425000,"B.Tech,Bsc,BCA"
"Recruitment, Onboarding",HR Manager,450000,"B.Tech,Bsc,BCA"
"Excel, Taxation",Accountant,475000,"B.Tech,Bsc,BCA"
"Teaching, Mentoring",Educator,500000,"B.Tech,Bsc,BCA"
"Event Planning, Budgeting",Event Manager,400000,"B.Tech,Bsc,BCA"
"Negotiation, Market Research",Sales Executive,425000,"B.Tech,Bsc,BCA"
"Research, Writing",Journalist,450000,"B.Tech,Bsc,BCA"
"UI/UX Design, Figma",UX Designer,475000,"B.Tech,Bsc,BCA"
"Java, Spring Boot",Full Stack Developer,500000,"B.Tech,Bsc,BCA"
